X;time;peak;backend
[2, 32, 1, 1];0.0010673388169379905;0.4678194935272499;mlir
[2, 32, 1, 1];0.0010648173920344561;0.46892726254958406;tvm
[2, 32, 1, 4];0.001065873060724698;0.4684628246654538;mlir
[2, 32, 1, 4];0.0010638717067195103;0.46934409629294804;tvm
[2, 32, 2, 1];0.0010722169536165893;0.46569111137227526;mlir
[2, 32, 2, 1];0.0010635611979523674;0.4694811222177244;tvm
[2, 32, 2, 4];0.0010677788377506658;0.46762670986601823;mlir
[2, 32, 2, 4];0.0010609936725813895;0.47061723143650647;tvm
[2, 32, 4, 1];0.0010877314489334822;0.4590488812762457;mlir
[2, 32, 4, 1];0.0010837642621481791;0.46072925838334605;tvm
[2, 32, 4, 4];0.001071672362741083;0.4659277612466912;mlir
[2, 32, 4, 4];0.001067557037458755;0.46772386602453175;tvm
[2, 32, 8, 1];0.0010963008826365694;0.45546064284929805;mlir
[2, 32, 8, 1];0.0010931779397651553;0.4567617828705662;tvm
[2, 32, 8, 4];0.0010573710897006094;0.47222957921356246;mlir
[2, 32, 8, 4];0.001055280925356783;0.4731649106545611;tvm
[2, 32, 16, 1];0.001259049095096998;0.39658652447022863;mlir
[2, 32, 16, 1];0.0010598331282380968;0.47113256932437536;tvm
[2, 32, 16, 4];0.001057124842191115;0.4723395807508926;mlir
[2, 32, 16, 4];0.001057113244314678;0.4723447629166855;tvm
[2, 32, 32, 1];0.0012952155229868367;0.3855126007218023;mlir
[2, 32, 32, 1];0.0010589432204142213;0.47152849665215063;tvm
[2, 32, 32, 4];0.0010465789382578805;0.4770991336717214;mlir
[2, 32, 32, 4];0.0010593169572530314;0.4713621370290548;tvm
[2, 32, 64, 1];0.0013196700165281072;0.37836875772593553;mlir
[2, 32, 64, 1];0.0010623576381476596;0.4700130039376653;tvm
[2, 32, 64, 4];0.0010484098311280832;0.4762659505249366;mlir
[2, 32, 64, 4];0.0010694411757867783;0.466899831488682;tvm
[2, 32, 128, 1];0.0011880235833814368;0.42029629019711834;mlir
[2, 32, 128, 1];0.0019006672664545476;0.2627087410693015;tvm
[2, 32, 128, 4];0.001062946961610578;0.46975241737869206;mlir
[2, 32, 128, 4];0.0010907113610301167;0.4577947224188834;tvm
[2, 32, 256, 1];0.0014832499000476673;0.3366404438967823;mlir
[2, 32, 256, 1];0.002013388671912253;0.24800075202949493;tvm
[2, 32, 256, 4];0.0013754011306446046;0.3630372940931707;mlir
[2, 32, 256, 4];0.001250371104106307;0.3993389667452298;tvm
