X;time;peak
[2, 32, 8, 4];0.0040610095602460206;0.12295511678915015
[2, 32, 16, 1];0.0041665720054879785;0.11983997974935404
[2, 32, 16, 4];0.0038905494147911668;0.12834226005807123
[2, 32, 32, 1];0.005291578243486583;0.09436162176691261
[2, 32, 32, 4];0.004946028348058462;0.10095411300218508
[2, 32, 64, 1];0.004737070528790355;0.10540731908617165
[2, 32, 64, 4];0.004100800433661789;0.12176205910026151
[2, 32, 128, 1];0.004764934186823666;0.10479093418386871
[2, 32, 128, 4];0.004105774685740471;0.12161454122070334
[2, 32, 256, 1];0.00484541233163327;0.10305044660535538
[2, 32, 256, 4];0.004148167034145445;0.12037169686074829
[2, 64, 1, 1];0.003385635616723448;0.14748247043937313
[2, 64, 1, 4];0.0033834020723588765;0.14757983062113045
[2, 64, 2, 1];0.0035165714798495173;0.14199111481825247
[2, 64, 2, 4];0.003441690234467387;0.14508043163250467
[2, 64, 4, 1];0.004321859101764858;0.1155340544438396
[2, 64, 4, 4];0.003512844326905906;0.14214176840614645
[2, 64, 8, 1];0.004301810986362398;0.11607248815553617
[2, 64, 8, 4];0.0034253952908329666;0.1457705935715474
[2, 64, 16, 1];0.004333337245043367;0.11522802785152432
[2, 64, 16, 4];0.004350033064838499;0.11478577227330634
[2, 64, 32, 1];0.004585451039019972;0.10889264774891645
[2, 64, 32, 4];0.004347324080299586;0.11485729969491833
[2, 64, 64, 1];0.004844320064876229;0.1030736817705835
[2, 64, 64, 4];0.004375167773105204;0.114126344555587
[2, 64, 128, 1];0.004854502563830465;0.10285748090488447
[2, 64, 128, 4];0.004374220443423837;0.11415106102221728
[2, 128, 1, 1];0.0038470341823995113;0.12979398702677047
[2, 128, 1, 4];0.0038444523815996945;0.1298811521640267
[2, 128, 2, 1];0.003977641696110368;0.12553214766683954
[2, 128, 2, 4];0.0038662017905153334;0.12915050269410516
[2, 128, 4, 1];0.0029208273626863956;0.17095221413656556
[2, 128, 4, 4];0.0030041267455089837;0.16621199671697126
[2, 128, 8, 1];0.0031903829658403993;0.15650845372112723
[2, 128, 8, 4];0.0031741710263304412;0.15730781379450592
[2, 128, 16, 1];0.003139568609185517;0.15904156491469107
[2, 128, 16, 4];0.003222413652110845;0.15495276481181228
[2, 128, 32, 1];0.003463557455688715;0.14416446418170262
[2, 128, 32, 4];0.003878099611029029;0.12875427524911173
[2, 128, 64, 1];0.0035092655452899635;0.14228672590254118
[2, 128, 64, 4];0.003201342304237187;0.1559726693709134
[2, 256, 1, 1];0.005230235692579299;0.09546833720521367
[2, 256, 1, 4];0.00523022492416203;0.09546853376327874
[2, 256, 2, 1];0.00328310503391549;0.15208831261983857
[2, 256, 2, 4];0.0034183781826868653;0.14606982553622397
[2, 256, 4, 1];0.003245642641559243;0.1538437714516916
[2, 256, 4, 4];0.004269774886779487;0.11694337945261617
[2, 256, 8, 1];0.0032824084628373384;0.15212058779859688
[2, 256, 8, 4];0.004097103257663548;0.12187193569699112
[2, 256, 16, 1];0.0026550890470389277;0.18806220654586728
[2, 256, 16, 4];0.00405264925211668;0.12320876387244992
[2, 256, 32, 1];0.0034456063294783235;0.1449155408411105
[2, 256, 32, 4];0.003980374778620899;0.1254459523369072
[4, 16, 1, 1];0.004197110945824534;0.11896800232518315
[4, 16, 1, 4];0.004197525617200881;0.11895624953800221
[4, 16, 2, 1];0.0057427745196036994;0.08694785126203462
[4, 16, 2, 4];0.006095921155065298;0.08191082070459557
[4, 16, 4, 1];0.00597868044860661;0.08351707522322532
[4, 16, 4, 4];0.006082660867832601;0.08208938745911462
[4, 16, 8, 1];0.00576941849431023;0.08654631402702602
[4, 16, 8, 4];0.004215705732349306;0.11844325398007448
[4, 16, 16, 1];0.004548725672066212;0.10977182199143105
[4, 16, 16, 4];0.004219511756673455;0.11833641747109531
[4, 16, 32, 1];0.004552575759589672;0.10967898858357694
[4, 16, 32, 4];0.004225527110975236;0.11816795671834257
[4, 16, 64, 1];0.0049163728835992515;0.10156306622461755
[4, 16, 64, 4];0.004227526893373579;0.11811205874161676
[4, 16, 128, 1];0.0049670806038193405;0.10052623353403221
[4, 16, 128, 4];0.004233561456203461;0.11794370057631871
[4, 16, 256, 1];0.005098487716168165;0.09793529622096975
[4, 16, 256, 4];0.004268007993232459;0.11699179231942666
[4, 32, 1, 1];0.0037189252907410264;0.134265107719443
[4, 32, 1, 4];0.003719087631907314;0.1342592469395055
[4, 32, 2, 1];0.0037358453264459968;0.13365700695026425
[4, 32, 2, 4];0.0037378432461991906;0.13358556575898095
[4, 32, 4, 1];0.003978873195592314;0.1254932942610586
[4, 32, 4, 4];0.0037379349232651293;0.13358228942245504
[4, 32, 8, 1];0.00381408107932657;0.13091538810445716
[4, 32, 8, 4];0.0037423427565954626;0.13342495255997208
[4, 32, 16, 1];0.0037475265562534332;0.1332403912998815
[4, 32, 16, 4];0.0037477865116670728;0.13323114942846592
[4, 32, 32, 1];0.0038576290826313198;0.12943751046726173
[4, 32, 32, 4];0.0037432204699143767;0.1333936669707639
[4, 32, 64, 1];0.00410844327416271;0.12153554800234288
[4, 32, 64, 4];0.0037574030575342476;0.13289016299720025
[4, 32, 128, 1];0.004189077124465257;0.1191961594227378
[4, 32, 128, 4];0.003844279097393155;0.1298870066693389
[4, 64, 1, 1];0.0033226843806914985;0.15027665813326171
[4, 64, 1, 4];0.0033225242514163256;0.15028390072670014
[4, 64, 2, 1];0.003308200743049383;0.1509345845505274
